SightingFID,Date,SurveyNum,Sighting,SurveyType,Effort,StartTime,EndTime,StartLat,StartLon,HumanInteraction,SightingGroup,SightingNotes,#Boats,#Lines,#CrabPots,Categories Defined?
41478,28-Jun-12,7348,24,Photo-id (Pop Mon),Photo-id (Pop Mon),14:50,14:54,27.52564,-82.70043,0,"FB66,FB10,FB33,F282",No Comments,-999,-999,-999,0
41479,28-Jun-12,7348,25,Photo-id (Pop Mon),Photo-id (Pop Mon),15:14,15:38,27.48898,-82.69877,0,"FB92,F131,F128,F138,F159,F135,1316,F233","Originally one large group; F159, F233 split off. F159's VHF tag did not beep at 148.624. Mom and yoy seen initially, possibly F197, likely not photographed.",-999,-999,-999,0
41480,28-Jun-12,7349,41,Photo-id (Pop Mon),Photo-id (Pop Mon),10:35,10:46,27.4591,-82.68682,0,"F175,F207,F247","Yoy was surfacing with F207 sometimes. No boats, no lines.",0,0,-999,0
41481,28-Jun-12,7349,42,Photo-id (Pop Mon),Photo-id (Pop Mon),11:26,11:32,27.47325,-82.65324,0,"F131,F138,1316","No boats, no lines.",0,0,-999,0
41482,28-Jun-12,7349,43,Photo-id (Pop Mon),Photo-id (Pop Mon),11:39,11:55,27.47544,-82.64504,0,"F215,F213,F229,2151","SG1: F213    SG2: F215 and 2151   SG3: F229    No boats, no lines. Associated organisms: Frigate bird and tern.",0,0,-999,0
41485,29-Jun-12,7351,21,Photo-id (Pop Mon),Photo-id (Pop Mon),10:53,11:00,27.47559,-82.69302,0,"F196,F268,F187,F280",Seawall feeding,-999,-999,-999,0
41486,29-Jun-12,7351,22,Photo-id (Pop Mon),Photo-id (Pop Mon),11:09,11:29,27.48844,-82.69732,0,"F113,F176,F274",No Comments,-999,-999,-999,0
41487,29-Jun-12,7351,23,Photo-id (Pop Mon),Photo-id (Pop Mon),12:18,12:42,27.53178,-82.71599,L,"FB87,FB07,FB93,FB55,FB20,NACK,R27L,F258,F222,WENT,F250,F278,C874,C936",12:38  Mystic Dolphin approaching dolphins on a plane. F258 tag not beeping. Same as Nai'a sighting 67.,-999,-999,-999,0
41488,29-Jun-12,7351,24,Photo-id (Pop Mon),Photo-id (Pop Mon),12:53,12:56,27.52748,-82.70164,0,F250,No Comments,-999,-999,-999,0
41489,29-Jun-12,7351,25,Photo-id (Pop Mon),Photo-id (Pop Mon),13:15,13:34,27.50479,-82.70088,0,"F198,F146,F196,F268,F187,F211,F280","F211 tailslapping repeatedly. One boat with one fishing line. SG1: F198, F146, F211  SG2: F196, F187, 1871.  Subgroups joined.",-999,-999,-999,0
41490,29-Jun-12,7351,26,Photo-id (Pop Mon),Photo-id (Pop Mon),13:46,13:56,27.48091,-82.69805,0,"F159,F233",F159 tag not responding.,-999,-999,-999,0
41491,29-Jun-12,7351,27,Photo-id (Pop Mon),Photo-id (Pop Mon),14:04,14:20,27.46873,-82.69261,0,F207,No Comments,-999,-999,-999,0
41492,29-Jun-12,7352,41,Photo-id (Pop Mon),Photo-id (Pop Mon),9:34,9:40,27.31699,-82.56641,0,FB78,No Comments,-999,-999,-999,0
41493,29-Jun-12,7352,42,Photo-id (Pop Mon),Photo-id (Pop Mon),11:51,12:07,27.47594,-82.69432,0,"F196,F268,F187,F280","F187 had large fish in mouth. After feeding, left JDC. Adults socializing and left calf straggling behind.",-999,-999,-999,0
41494,29-Jun-12,7352,43,Photo-id (Pop Mon),Photo-id (Pop Mon),12:39,12:52,27.48034,-82.64711,0,"F213,F229",No Comments,-999,-999,-999,0
41495,29-Jun-12,7352,44,Photo-id (Pop Mon),Photo-id (Pop Mon),13:00,13:25,27.48992,-82.6526,0,"FB92,F128,F135,F179,F209","SG1: F128, F135, and FB92.  Boat dragging innertube drove over dolphins. Dolphins swam by fishing kayak but ignored him.  SG2: F179 and F209.",-999,-999,-999,0
41496,29-Jun-12,7352,45,Photo-id (Pop Mon),Photo-id (Pop Mon),13:33,13:37,27.49966,-82.65508,0,F205,No Comments,-999,-999,-999,0
41509,02-Jul-12,7356,21,Photo-id (Pop Mon),Photo-id (Pop Mon),9:32,9:46,27.33144,-82.57793,0,"FB79,F125,F123,1253,1231,C798","Yoys rubbing on each other. Lighter colored yoy = 1231. SG1: FB79, C798, F123, 1231.   SG2: F125, 1253.  1253 swimming with boat. At 9:43, subgroups joined.",-999,-999,-999,0
41510,02-Jul-12,7356,22,Photo-id (Pop Mon),Photo-id (Pop Mon),10:00,10:06,27.35668,-82.56797,999,FB78,No Comments,-999,-999,-999,0
41511,02-Jul-12,7356,23,Photo-id (Pop Mon),Photo-id (Pop Mon),10:14,10:21,27.37486,-82.57783,0,"FB87,F262,F256,C874,SGDM",No Comments,-999,-999,-999,0
41512,02-Jul-12,7356,24,Photo-id (Pop Mon),Photo-id (Pop Mon),10:36,10:43,27.40865,-82.62317,999,"F155,FB02,F236,1555",No Comments,-999,-999,-999,0
41513,02-Jul-12,7356,25,Photo-id (Pop Mon),Photo-id (Pop Mon),10:59,11:34,27.44459,-82.67821,0,"F276,F142",No Comments,-999,-999,-999,0
41514,02-Jul-12,7356,26,Photo-id (Pop Mon),Photo-id (Pop Mon),11:46,11:52,27.45393,-82.68356,999,"F207,F250",No Comments,-999,-999,-999,0
41515,02-Jul-12,7356,27,Photo-id (Pop Mon),Photo-id (Pop Mon),12:09,12:16,27.48376,-82.6981,0,"FB90,F138,F179,F246,F270",No Comments,-999,-999,-999,0
41516,02-Jul-12,7356,28,Photo-id (Pop Mon),Photo-id (Pop Mon),12:27,12:34,27.50185,-82.70784,0,"FB66,FB10,FB33,F282",FB10 carrying piece of very large fish. Seems to be eating pieces off large chunk.,-999,-999,-999,0
41517,02-Jul-12,7356,29,Photo-id (Pop Mon),Photo-id (Pop Mon),13:00,13:08,27.52519,-82.71041,0,"F196,F268,F187,F280","SG1: F268, F196, F187. F187 breached by F196 and F268, occasionally socializing.  SG2 was milling off the seawall nearby.",-999,-999,-999,0
41518,02-Jul-12,7356,30,Photo-id (Pop Mon),Photo-id (Pop Mon),13:27,13:29,27.53904,-82.72632,0,"F165,F133,F245,1651",No Comments,-999,-999,-999,0
41519,02-Jul-12,7356,31,Photo-id (Pop Mon),Photo-id (Pop Mon),14:09,14:19,27.4964,-82.69838,0,"FB54,C548",No Comments,-999,-999,-999,0
41520,02-Jul-12,7356,32,Photo-id (Pop Mon),Photo-id (Pop Mon),14:26,14:49,27.49397,-82.69722,0,"FB66,FB10,FB33,F159,F227,F282,F233,ORNG",No Comments,-999,-999,-999,0
41521,02-Jul-12,7356,33,Photo-id (Pop Mon),Photo-id (Pop Mon),16:11,16:17,27.34385,-82.56432,0,"FB87,JOSC,IKN2,F125,F248,C835,B053,DABL,C874,DAB1,1253,SGDM",No Comments,-999,-999,-999,0
41529,03-Jul-12,7358,21,Photo-id (Pop Mon),Photo-id (Pop Mon),10:15,10:33,27.42613,-82.6802,0,"F175,F241,1753,F247",No Comments,-999,-999,-999,0
41530,03-Jul-12,7358,22,Photo-id (Pop Mon),Photo-id (Pop Mon),11:50,11:56,27.55363,-82.71705,0,"RTM2,4C4C,ATMM",No Comments,-999,-999,-999,0
41531,03-Jul-12,7358,23,Photo-id (Pop Mon),Photo-id (Pop Mon),12:11,12:14,27.55071,-82.68863,0,BTHS,No Comments,-999,-999,-999,0
41532,03-Jul-12,7358,24,Photo-id (Pop Mon),Photo-id (Pop Mon),13:53,14:13,27.52747,-82.64143,0,"F190,F228,F220,F224,LWHP,RTM3,CMDA",Group split almost immediately; one SG headed in. The other stayed and socialized.,-999,-999,-999,0
41533,03-Jul-12,7358,25,Photo-id (Pop Mon),Photo-id (Pop Mon),14:39,15:05,27.52352,-82.69963,0,"FB07,F113,F278,F274",No Comments,-999,-999,-999,0
41534,03-Jul-12,7358,26,Photo-id (Pop Mon),Photo-id (Pop Mon),15:11,15:35,27.51663,-82.69482,0,"F164,FB20,F178,F196,F165,F258,F268,F187,F242,F280,1651","SG1: FB20, F258   SG2: F268, F196, F164, F242, F165, 1651 (everyone else). Pass to Nai'a (s65) for focal follow.",-999,-999,-999,0
41540,05-Jul-12,7360,21,Photo-id (Pop Mon),Photo-id (Pop Mon),9:35,9:48,27.30678,-82.57835,0,"MUCH,FZJS,FZJ1,MUC3",Associated Organisms: Royal Tern,-999,-999,-999,0
41541,05-Jul-12,7360,22,Photo-id (Pop Mon),Photo-id (Pop Mon),9:56,10:01,27.29168,-82.57179,0,"AMVM,AMV1",Riding bow; calf has remora on belly. Calf was leaping. Associated organisms: remora.,-999,-999,-999,0
41542,05-Jul-12,7360,23,Photo-id (Pop Mon),Photo-id (Pop Mon),10:07,10:29,27.2862,-82.57455,0,"F110,SOLB,LNLD,SCS1,SCS2,LNL1,NYDT,RPIA","SCS1 riding in stern wake. F110 started chasing LNLD, 3 dolphins leaping away at the same time. Associated organisms: frigate bird",-999,-999,-999,0
41543,05-Jul-12,7360,24,Photo-id (Pop Mon),Photo-id (Pop Mon),10:52,11:21,27.23461,-82.5306,0,"RCNM,GADG,RITA,HDLE,BRIE,COIN,BRI1,CL-4970,HLPA",Associated organisms: Frigates,-999,-999,-999,0
41544,05-Jul-12,7360,25,Photo-id (Pop Mon),Photo-id (Pop Mon),11:59,12:02,27.11959,-82.47225,0,FB35,No Comments,-999,-999,-999,0
41545,05-Jul-12,7360,26,Photo-id (Pop Mon),Photo-id (Pop Mon),13:06,13:07,27.12811,-82.46959,"F,I",BEGR,"0 = begging. Photo of begging. 2 boats during sighting, both of which attempted to attract.",2,-999,-999,0
41546,05-Jul-12,7360,27,Photo-id (Pop Mon),Photo-id (Pop Mon),13:21,13:39,27.1542,-82.47919,0,F221,No signals were heard while attempting to radio track,-999,-999,-999,0
41547,05-Jul-12,7360,28,Photo-id (Pop Mon),Photo-id (Pop Mon),13:46,13:57,27.16458,-82.48544,0,F221,5 boats.,5,-999,-999,0
41548,05-Jul-12,7360,29,Photo-id (Pop Mon),Photo-id (Pop Mon),14:13,14:27,27.20639,-82.50206,L,"FB11,F193,F127,F199,C114,THAL","SG1: F199, F127 fed in edge of channel in shallows.  SG2: FB11, C114, F193 + 1 clean juvenile dolphin traveling in channel. 8 boats.",8,-999,-999,0
41549,05-Jul-12,7360,30,Photo-id (Pop Mon),Photo-id (Pop Mon),16:00,16:25,27.30564,-82.5593,"L,I","FB78,F153,FB15,F175,F125,F123,F252,1753,1253,1231,F247,ORNG",11 boats; one parasial ferry boat closely approached group. One private recreational boat approached group and attempted to attract.  F252 VHF tag not transmitting; riding other boat's wake (parasail ferry).,11,-999,-999,1
41550,05-Jul-12,7361,41,Photo-id (Pop Mon),Photo-id (Pop Mon),10:16,10:28,27.45137,-82.68115,"I,L","F109,F250,1092","Jetski tapping on side of vessel, driving in circles around and over dolphins. Hands in water, also revving enging. See video.",-999,-999,-999,0
41551,05-Jul-12,7361,42,Photo-id (Pop Mon),Photo-id (Pop Mon),10:54,10:58,27.48797,-82.66692,0,F229,No Comments,-999,-999,-999,0
41552,05-Jul-12,7361,43,Photo-id (Pop Mon),Photo-id (Pop Mon),11:07,11:32,27.47739,-82.6703,0,"F113,F274","F274 tossed small fish, FIM (F274).",-999,-999,-999,0
41553,05-Jul-12,7361,44,Photo-id (Pop Mon),Photo-id (Pop Mon),11:44,11:51,27.4798,-82.65705,0,F213,"Fish toss, chasing fish at surface",-999,-999,-999,0
41554,05-Jul-12,7361,45,Photo-id (Pop Mon),Photo-id (Pop Mon),12:03,12:13,27.49384,-82.65036,0,"F131,1316","SG1: F131 and 1316  SG2: Prob mom calf pair     SG's split, SG1 headed towards east PSB. SG2 headed under UPS bridge and we lost them.",-999,-999,-999,0
41555,05-Jul-12,7361,46,Photo-id (Pop Mon),Photo-id (Pop Mon),12:17,12:32,27.50012,-82.65322,0,"FB55,F197,F229,F243","SG1: F229, fish toss.   SG2: FB55, F197, and 1971.  F197 and 1971 poss SG2 from previous sighting (45).",-999,-999,-999,0
41556,05-Jul-12,7361,47,Photo-id (Pop Mon),Photo-id (Pop Mon),12:57,13:03,27.48198,-82.67343,0,"F179,F246",No Comments,-999,-999,-999,0
41557,05-Jul-12,7361,48,Photo-id (Pop Mon),Photo-id (Pop Mon),13:20,13:46,27.47787,-82.69228,0,"F196,F268,F187,F280",No Comments,-999,-999,-999,0
41558,05-Jul-12,7361,49,Photo-id (Pop Mon),Photo-id (Pop Mon),14:21,14:33,27.44053,-82.68142,0,"F109,1092",Dolphins swam along 12 boats anchored along Jewfish Key Bar.,-999,-999,-999,0
41559,05-Jul-12,7361,50,Photo-id (Pop Mon),Photo-id (Pop Mon),15:51,16:03,27.34658,-82.58817,0,"FB02,JOSC,IKN2,F248,C835,F236,F238,B053,DABL,F234,DAB1",FB02 and F236 most closely associated with DABL.,-999,-999,-999,0
41560,06-Jul-12,7362,21,Photo-id (Pop Mon),Photo-id (Pop Mon),9:56,10:06,27.43883,-82.67606,0,"F109,1092",No Comments,-999,-999,-999,0
41561,06-Jul-12,7362,22,Photo-id (Pop Mon),Photo-id (Pop Mon),10:11,10:21,27.43895,-82.6796,I,"FB93,F109,1092,C936","2 people on back of boat attempting to attract. 5 boats (with 3 people on board), 1092 is ~ 200m away.",5,-999,-999,0
41562,06-Jul-12,7362,23,Photo-id (Pop Mon),Photo-id (Pop Mon),10:35,10:37,27.45715,-82.68874,0,"FB66,FB10,FB33,F282",No Comments,-999,-999,-999,0
41563,06-Jul-12,7362,24,Photo-id (Pop Mon),Photo-id (Pop Mon),10:55,10:58,27.50127,-82.7072,0,F173,No Comments,-999,-999,-999,0
41564,06-Jul-12,7362,25,Photo-id (Pop Mon),Photo-id (Pop Mon),11:13,11:27,27.51527,-82.70324,0,"ULYS,F196,F268,F173","SG1: F196, F268 and ULYS.   SG2: F173",-999,-999,-999,0
41565,06-Jul-12,7362,26,Photo-id (Pop Mon),Photo-id (Pop Mon),11:43,12:05,27.53244,-82.71566,L,"FB65,F165,F133,F241,C655,F245,1651","SG1: F133 and 1331   SG2: FB65, C655, C654   SG3: F165, 1651.    1 boat; dive boat Quest is driving over dolphins.",1,-999,-999,1
41566,06-Jul-12,7362,27,Photo-id (Pop Mon),Photo-id (Pop Mon),12:15,12:42,27.54237,-82.72454,0,"VAIL,NKSH,RMUS,CL-4962,CL-4966,CL-4967,CL-4975","SG1: 2 mom/calf pairs; photos thru 103     SG2: 2-3 dolphins; frames 104-110; mom/calf pair    SG3: 2 dolphins, poss mom and large calf.  Associated organisms: black drum",-999,-999,-999,0
41567,06-Jul-12,7362,28,Photo-id (Pop Mon),Photo-id (Pop Mon),13:05,13:10,27.51382,-82.70306,0,"F159,F233",No Comments,-999,-999,-999,0
41568,06-Jul-12,7362,29,Photo-id (Pop Mon),Photo-id (Pop Mon),13:24,13:29,27.49758,-82.69541,999,"FB28,FB93,C936",2 boats,2,-999,-999,0
41569,06-Jul-12,7362,30,Photo-id (Pop Mon),Photo-id (Pop Mon),13:33,13:36,27.4983,-82.69306,999,,3 boats,3,-999,-999,0
41570,06-Jul-12,7362,31,Photo-id (Pop Mon),Photo-id (Pop Mon),13:41,13:46,27.49333,-82.6972,0,"FB07,F178,F188,F227,F278",No Comments,-999,-999,-999,0
41571,06-Jul-12,7362,32,Photo-id (Pop Mon),Photo-id (Pop Mon),14:49,15:10,27.4061,-82.62555,0,"FB20,F142,F258",F276 not seen,-999,-999,-999,0
41572,06-Jul-12,7363,41,Photo-id (Pop Mon),Photo-id (Pop Mon),9:31,9:42,27.31185,-82.55331,999,C935,No Comments,-999,-999,-999,0
41573,06-Jul-12,7363,42,Photo-id (Pop Mon),Photo-id (Pop Mon),11:06,11:42,27.43969,-82.67887,L,"FB93,F276,F109,1092,C936","Seven jetskis on tour following closely on top of dolphins.  SG1: FB93, C936, F109, 1092   SG2: F276, FB93, C936 joined group, too.    1092 playing with blade of seagrass.",-999,-999,-999,0
41574,06-Jul-12,7363,43,Photo-id (Pop Mon),Photo-id (Pop Mon),14:01,14:38,27.3328,-82.56171,999,"FB44,FB87,F110,F175,SOLB,F254,F167,F238,C874,1673,F247","Spread out group, lots of subgroups forming, joining and splitting.",-999,-999,-999,0
41575,06-Jul-12,7363,44,Photo-id (Pop Mon),Photo-id (Pop Mon),14:42,14:50,27.32473,-82.5681,999,F238,Seawall feeding,-999,-999,-999,0
41577,06-Jul-12,7364,62,Focal Follow,Opportunistic,10:22,10:33,27.28128,-82.54381,0,"F123,F199,1231",8 boats. F123 has peanut shaped curvature. F199 appx 100 meters from F123 and 1231,8,-999,-999,N/A
41578,06-Jul-12,7364,63,Focal Follow,Focal Follow,10:45,11:22,27.27552,-82.54353,0,"F252,THAL",Focal follow on F252; antenna has broken off. 7 boats.,7,-999,-999,N/A
41579,09-Jul-12,7365,21,Photo-id (Pop Mon),Photo-id (Pop Mon),9:42,9:48,27.43521,-82.69289,0,"AMVM,AMV1",No Comments,-999,-999,-999,0
